age_group,impressions,clicks,conversions,revenue,spend,CTR,CVR,response_rate,CPC,CAC,ROAS,AOV,reached_customers
18-25,7284.0,372.0,114.0,27350.440000000002,8995.14,0.051070840197693576,0.3064516129032258,0.09760589318600368,24.18048387096774,78.90473684210525,3.0405796908108162,239.9161403508772,340.0
26-35,10742.0,620.0,207.0,48240.659999999996,13582.92,0.05771737106684044,0.3338709677419355,0.11435523114355231,21.90793548387097,65.61797101449275,3.551567704146089,233.04666666666665,529.0
36-45,14692.0,798.0,301.0,74435.27,18481.93,0.05431527361829567,0.37719298245614036,0.1212794313638383,23.16031328320802,61.40176079734219,4.027461958788936,247.2932558139535,671.0
46-55,7143.0,380.0,128.0,32103.21,8469.14,0.05319893602127958,0.3368421052631579,0.10887465690759378,22.28721052631579,66.16515625,3.790610380747042,250.806328125,357.0
56+,2886.0,154.0,54.0,12221.99,3580.96,0.05336105336105336,0.35064935064935066,0.11188811188811189,23.252987012987013,66.31407407407407,3.41304845627988,226.33314814814815,135.0
